S.No,e-publish Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Organisation Chain,Reference Link
347.,18-Aug-2023 02:00 PM.,30-Aug-2023 03:00 PM,31-Aug-2023 03:00 PM,[SADC POSITIONER SPARES]  [100001044][2023_APCPL_164876_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SEN1BFmb0K1wFdxr85BLssA%3D%3D
348.,18-Aug-2023 01:30 PM.,08-Sep-2023 03:00 PM,09-Sep-2023 03:00 PM,[Supply on door delivery basis of Burnt Lime at HBL Sugauli and Lauriya Plant]  [HBL/TEN/PUB/23-24/178][2023_HPCLB_164879_1],HPCL Biofuels Limited||Purchase (Patna),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SlMyQOzbJfkS1tqHl4U2Axw%3D%3D
349.,18-Aug-2023 11:00 AM.,28-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,[Vibrating Feeder Assembly]  [100000983][2023_APCPL_160068_2],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SgmmcAWZQ5mDVRhbHVwsgtA%3D%3D
350.,18-Aug-2023 05:00 PM.,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[ACID and FERRIC unloading pumps for RO plant]  [100000997][2023_APCPL_160346_2],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SimkbBOh058GszD21Kppnhg%3D%3D
351.,18-Aug-2023 05:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[PUR/IICT/DMS/361/23-24]  [PUR/IICT/DMS/361/23-24][2023_CSIR_164893_1],Council of Scientific and Industrial Research||IICT-Hyderabad - CSIR||Purchase-IICT - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sfez%2FVlQQYihu6pA8%2BOUyIg%3D%3D
352.,18-Aug-2023 05:00 PM.,24-Aug-2023 02:30 PM,25-Aug-2023 03:00 PM,[Spare Parts for AKTA Purifier System Model No. AKTA Purifier 10 Serial No. 1437166]  [CDRI/2023/IND72218][2023_CSIR_164897_1],Council of Scientific and Industrial Research||CDRI-Lucknow - CSIR||Purchase-CDRI - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SntLunMeR02WveNR9pv5IXw%3D%3D
353.,18-Aug-2023 03:30 PM.,24-Aug-2023 03:00 PM,25-Aug-2023 03:00 PM,[Supply of Spares for Kirloskar Make Pump on door delivery basis at HBL Plant Sugauli.]  [HBL/TEN/PUB/23-24/141RET ][2023_HPCLB_164903_1],HPCL Biofuels Limited||Purchase (Patna),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=ScZWWdLpmpArGPylGM7rWfQ%3D%3D
354.,18-Aug-2023 04:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Supply of spares for Q-Exactive -HF Mass Spectrometer]  [11493/020823/1355/SPARE][2023_CSIR_164904_1],Council of Scientific and Industrial Research||CCMB-Hyderabad - CSIR||Purchase-CCMB - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SaX%2BHOxw%2Bx2QYKtcCRNU5qQ%3D%3D
355.,18-Aug-2023 04:00 PM.,30-Aug-2023 03:00 PM,31-Aug-2023 03:00 PM,[Thermocouple and spares for Main turbine IP Inner casing]  [100000668][2023_APCPL_157485_3],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SC2DUpFyfrUrQ1EFSWcqFFw%3D%3D
356.,18-Aug-2023 04:00 PM.,30-Aug-2023 11:00 AM,31-Aug-2023 11:30 AM,[Rate Contract for 2023-24]  [IGIB/RC/2023-2024/PW/14/CR/36][2023_CSIR_164909_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sd9jxP%2FmrN30Hh8Y%2B6ZU5dg%3D%3D
357.,18-Aug-2023 05:00 PM.,24-Aug-2023 03:00 PM,25-Aug-2023 03:00 PM,[High Speed Diesel ]  [100001084][2023_APCPL_164944_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SbxAudlFRR%2F9%2BX3eVicWcGw%3D%3D
358.,18-Aug-2023 05:00 PM.,05-Sep-2023 02:00 PM,06-Sep-2023 02:00 PM,[AK/B378-000-WC-MR-3312/264]  [AK/B378-000-WC-MR-3312/264][2023_GAIL_164452_1],GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S0OhLmVbPNT6mnYkjCk2fHw%3D%3D
359.,18-Aug-2023 05:10 PM.,08-Sep-2023 05:00 PM,11-Sep-2023 03:00 PM,"[Supply, Installation, Testing, Commissioning of Biobank System]  [IGIB/2-2NC/47/2023-24(215)][2023_CSIR_164945_1]",Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S7GV15kQibbXKG7hFKVcv9g%3D%3D
360.,18-Aug-2023 10:00 AM.,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[Tender for Supply of Survey Team and personnel for Mumbai Ahmedabad High-Speed Rail Corridor C3 Package]  [NHSRCL/CPM (civil)/Palghar/ 23-24/01][2023_NHSRC_164772_1],National High Speed Rail Corporation Limited||CPM Palghar||CPM - Palghar,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S1juHl45qQD%2FjQQ1R%2FyC9gg%3D%3D
361.,18-Aug-2023 06:00 PM.,26-Aug-2023 06:00 PM,28-Aug-2023 10:00 AM,[PUR/SEC/120/23 SOLAR SIMULATOR]  [PUR/SEC/120/23][2023_CSIR_164949_1],Council of Scientific and Industrial Research||NIIST-Thiruvanthapuram - CSIR||Purchase-NIIST - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SMq4GHjFBSE%2BtYkPHiJp6OA%3D%3D
362.,18-Aug-2023 06:00 PM.,24-Aug-2023 02:30 PM,25-Aug-2023 03:00 PM,[Spare Parts for Water filtration Unit Model No. Millipore Sureproin Serial No. 8M2NA1715C]  [CDRI/2023/IND71901][2023_CSIR_164958_1],Council of Scientific and Industrial Research||CDRI-Lucknow - CSIR||Purchase-CDRI - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S7N%2F3bCVTLGH8rY0R7Atl8g%3D%3D
363.,19-Aug-2023 03:00 PM.,11-Sep-2023 02:30 PM,12-Sep-2023 03:00 PM,[Supply of Spares of Dozer ]  [RCF/MM/149(23) ][2023_CCI_164912_1],Cement Corporation of India Limted||Rajban Cement Factory - CCI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SMkgEIfX3Jv1AAV9Zvr6WSA%3D%3D
364.,18-Aug-2023 06:00 PM.,08-Sep-2023 12:00 PM,09-Sep-2023 12:00 PM,"[Providing, Running and Maintenance of vehicle for NHAI, RO-Gandhinagar - 3 (Nos)]  [NHAI/RO-GNR/NIT /VEHICLE/July/2023 ][2023_NHAI_161978_2]",National Highways Authority of India||RO-Gandhinagar - NHAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SOw5g10%2B4QqWKF8lFt%2FBixA%3D%3D
365.,18-Aug-2023 06:00 PM.,23-Sep-2023 01:00 PM,25-Sep-2023 02:30 PM,[PUR/IICT/DMS/325/22-3-24]  [PUR/IICT/DMS/325/23-24][2023_CSIR_164966_1],Council of Scientific and Industrial Research||IICT-Hyderabad - CSIR||Purchase-IICT - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SXbjU7%2BTLtXhdXO55WnbPCg%3D%3D
366.,18-Aug-2023 06:25 PM.,05-Sep-2023 02:00 PM,06-Sep-2023 02:00 PM,[AK/B378-000-WD-MR-3320/265]  [AK/B378-000-WD-MR-3320/265][2023_GAIL_164871_1],GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SP5Sk7Dam05HtRTUaDhObaw%3D%3D
367.,21-Aug-2023 02:00 PM.,12-Sep-2023 10:00 AM,13-Sep-2023 10:00 AM,[Providing two trained patrolling dogs with two trained handlers]  [CSIR-NAL/Patrolling Dogs/2023-25/S.VI][2023_CSIR_164952_1],Council of Scientific and Industrial Research||NAL Bengaluru - CSIR||Admin-NAL - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=So35w5ddvG3un3DXSjUeSKg%3D%3D
368.,21-Aug-2023 10:30 AM.,13-Sep-2023 02:00 PM,14-Sep-2023 02:30 PM,"[Supply, Installation, commissioning and demonstration of Automated Glycemic Index Analyser.]  [CFTRI/52341/2023][2023_CSIR_165023_1]",Council of Scientific and Industrial Research||CFTRI-Mysore - CSIR||Purchase-CFTRI - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SeM87vyjDYzJfVaTH70zZmg%3D%3D
369.,21-Aug-2023 09:00 AM.,28-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,[eTender for Upgradation of Trimble eCognition Software version to the latest version]  [4/7(19)2023-Pur. ][2023_CSIR_165040_1],Council of Scientific and Industrial Research||IHBT-Palampur - CSIR||Purchase -IHBT - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=ShmCLxl6u9lUG%2B%2F1yN%2Be4Wg%3D%3D
370.,19-Aug-2023 01:00 PM.,31-Aug-2023 03:00 PM,01-Sep-2023 03:00 PM,[Supply of GASKET]  [ILP/IP/2/210 122/48/T0287][2023_ILTD_165043_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SFXxFHpFdlVubD1C9%2BzfmvA%3D%3D
371.,21-Aug-2023 09:00 AM.,28-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,[eTender for Upgradation of Trimble eCognition Software version to the latest version]  [4/7(19)2023-Pur. ][2023_CSIR_165040_1],Council of Scientific and Industrial Research||IHBT-Palampur - CSIR||Purchase -IHBT - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=ShmCLxl6u9lUG%2B%2F1yN%2Be4Wg%3D%3D
372.,19-Aug-2023 11:00 AM.,30-Aug-2023 03:00 PM,31-Aug-2023 03:00 PM,[Automatic Drain Valve for Instrument Air System]  [100001018][2023_APCPL_165018_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SeD3waeVImogWSASaJDFm%2BQ%3D%3D
373.,19-Aug-2023 01:00 PM.,31-Aug-2023 03:00 PM,01-Sep-2023 03:00 PM,[Supply of GASKET]  [ILP/IP/2/210 122/48/T0287][2023_ILTD_165043_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SFXxFHpFdlVubD1C9%2BzfmvA%3D%3D
374.,19-Aug-2023 01:00 PM.,04-Sep-2023 03:00 PM,05-Sep-2023 03:00 PM,[Filters of HPBP System]  [100001042][2023_APCPL_165047_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SxVugshRHQR17RLAuIR6tVg%3D%3D
375.,19-Aug-2023 12:00 PM.,28-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,[18/ASS/PAC/385/2023-PB/T-89]  [18/ASS/PAC/385/2023-PB/T-89][2023_CSIR_165028_1],Council of Scientific and Industrial Research||NPL New Delhi - CSIR||Purchase-NPL - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SVdIkyq%2FxXqkUobt9fvPr%2Fw%3D%3D
376.,19-Aug-2023 05:30 PM.,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[I R Spectrophotometer]  [CMM/KAIGA1-4/CAPKGS3-4/61882][2023_NPCIL_165021_1],Nuclear Power Corporation Of India Limited||Kaiga Generating Station Kaiga Site - NPCIL||Contracts and Materials Management-NPCIL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SQ1bjbaotKk0jZMz0%2FnTN%2Bw%3D%3D
377.,21-Aug-2023 10:00 AM.,29-Aug-2023 12:00 PM,29-Aug-2023 12:05 PM,"[Hiring of Machine-Hiring of back hoe loader and truck for removal of malba, debris from the roads and lanes under the jurisdiction of ward 71, M-I CSPZ.-General Civil Work]  [EE/M-I/CSPZ/TC/ 2023-24/12-03][2023_MCD_165083_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=StfQK4k9ZvtxjA0gCaH7Ehg%3D%3D
378.,19-Aug-2023 05:30 PM.,08-Sep-2023 11:00 AM,09-Sep-2023 11:30 AM,[Computerized Engraving and Routing Machine]  [CMM/KAIGA1-4/CAPKGS3-4/60655][2023_NPCIL_165011_1],Nuclear Power Corporation Of India Limited||Kaiga Generating Station Kaiga Site - NPCIL||Contracts and Materials Management-NPCIL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sfo55%2B4dkeNLtKzKzWX1t7Q%3D%3D
379.,19-Aug-2023 01:00 PM.,04-Sep-2023 11:00 AM,05-Sep-2023 11:30 AM,[PROCUREMENT OF CONSUMABLES FOR USE IN BLOOD BANK DEPTT. OF SDN HOSPITAL]  [sdnh/2023-24/15][2023_EDMC_165050_1],East Delhi Municipal Corporation (EDMC)||SDN Hospital,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SZ3IJwi8TtlFTuV2q9yjVAA%3D%3D
380.,21-Aug-2023 10:30 AM.,20-Sep-2023 02:00 PM,21-Sep-2023 02:30 PM,[Supply Installation commissioning and demonstration of FT NIR spectrometer for reflection measurement ]  [CFTRI/52340/23-24][2023_CSIR_165046_1],Council of Scientific and Industrial Research||CFTRI-Mysore - CSIR||Purchase-CFTRI - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SbKLLxY2J3NGzObVMwkNo2Q%3D%3D
381.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Autoanalyzer immuno assay (cherniluminescence based) - fully automated with UPS back up]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_13],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SRZPCWsrlCRyCHb%2BYlRCY%2Fg%3D%3D
382.,21-Aug-2023 10:30 AM.,20-Sep-2023 02:00 PM,21-Sep-2023 02:30 PM,[Supply Installation commissioning and demonstration of FT NIR spectrometer for reflection measurement ]  [CFTRI/52340/23-24][2023_CSIR_165046_1],Council of Scientific and Industrial Research||CFTRI-Mysore - CSIR||Purchase-CFTRI - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SbKLLxY2J3NGzObVMwkNo2Q%3D%3D
383.,19-Aug-2023 02:00 PM.,04-Sep-2023 03:00 PM,05-Sep-2023 03:00 PM,[Supply on Door Delivery Basis Commercial Grade Dry Yeast ]  [HBL/TEN/PUB/23-24/181][2023_HPCLB_165056_2],HPCL Biofuels Limited||Purchase (Patna),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SfCaIaEC9hPuc0qmqbtw4lg%3D%3D
384.,21-Aug-2023 10:00 AM.,05-Sep-2023 02:30 PM,06-Sep-2023 03:00 PM,[Supply of Spares for Hydro Pneumatic Cylinder]  [TCF/MM/3065/23][2023_CCI_165114_1],Cement Corporation of India Limted||Tandur Cement Factory - CCI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sa9ygz%2BqZ%2FcZw2YWQ4yiHxQ%3D%3D
385.,21-Aug-2023 05:00 PM.,23-Sep-2023 01:00 PM,25-Sep-2023 02:30 PM,[PUR/IICT/DMS/414/23-24]  [PUR/IICT/DMS/414/23-24][2023_CSIR_165145_1],Council of Scientific and Industrial Research||IICT-Hyderabad - CSIR||Purchase-IICT - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SE5SAWjL6uQuv934c05YsfA%3D%3D
386.,21-Aug-2023 12:00 PM.,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[E-Tender for hiring of Driver Services in BSNL ATP BA]  [Motor Driver/Hiring/Tender][2023_BSNL_165102_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||PGMTD Anantpur,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SOWG7UcR0iSGgvx9LcVV%2Fxg%3D%3D
387.,31-Mar-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation of Histopathology fully automated H and E, slide Stainer]  [HITES/PCD/AIIMS-IV/67/MIX/ 22-23][2023_HLL_150737_2]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=ShEsprKGrWz1d9lQEftNFHw%3D%3D
388.,21-Aug-2023 11:00 AM.,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[Rate contract for Supply of Glasswares]  [4/5(14-2)2023-Pur/RC/Glassware][2023_CSIR_165067_1],Council of Scientific and Industrial Research||IHBT-Palampur - CSIR||Purchase -IHBT - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SXHkhKOjUQ6d4%2FEPDal%2FL1g%3D%3D
389.,21-Aug-2023 05:00 PM.,28-Aug-2023 10:00 AM,29-Aug-2023 11:00 AM,[NAl/PUR/PR/051/2023]  [NAL/PUR/PR/051/2023][2023_CSIR_165120_1],Council of Scientific and Industrial Research||NAL Bengaluru - CSIR||Purchase-NAL - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SxbC9FJd9HHxXZla2k%2BtTDA%3D%3D
390.,21-Aug-2023 05:00 PM.,28-Aug-2023 02:30 PM,29-Aug-2023 03:00 PM,[AMC of micro CT Model No-SKYSCAN 1276 Sr. No-16A17007]  [CDRI/2023/IND72235][2023_CSIR_165119_1],Council of Scientific and Industrial Research||CDRI-Lucknow - CSIR||Purchase-CDRI - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SL1mb%2F%2FJdL44SeEEi6eHTyw%3D%3D
391.,31-Mar-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation of Histopathology fully automated H and E, slide Stainer]  [HITES/PCD/AIIMS-IV/67/MIX/ 22-23][2023_HLL_150737_4]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SVI3esDLd6LyKce%2F0PG88iw%3D%3D
392.,21-Aug-2023 01:00 PM.,04-Sep-2023 03:00 PM,05-Sep-2023 03:00 PM,[Procurement of Spares for O2 Analyzer]  [100001033][2023_APCPL_162370_2],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SHMVjmXG%2FhUYJirwFps9w3Q%3D%3D
393.,19-Aug-2023 02:00 PM.,04-Sep-2023 03:00 PM,05-Sep-2023 03:00 PM,[Supply on Door Delivery Basis Commercial Grade Dry Yeast ]  [HBL/TEN/PUB/23-24/181][2023_HPCLB_165056_2],HPCL Biofuels Limited||Purchase (Patna),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SfCaIaEC9hPuc0qmqbtw4lg%3D%3D
394.,31-Mar-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation of Cavitational /Cavitron - Ultrasonic Surgical Aspirator (CUSA) / Ultrasonic Aspirator]  [HITES/PCD/AIIMS-IV/67/MIX/ 22-23][2023_HLL_150737_5]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SDcO8PLSqTPzMbuB5G%2B7vaA%3D%3D
395.,31-Mar-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation of DEXA Scan]  [HITES/PCD/AIIMS-IV/67/MIX/ 22-23][2023_HLL_150737_6]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=ShdUmn1sTraL0AdR6DWY1mw%3D%3D
396.,31-Mar-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation of High end Operating Microscope]  [HITES/PCD/AIIMS-IV/67/MIX/ 22-23][2023_HLL_150737_7]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sur2tRyIk5u1ayT3yQsDe3w%3D%3D
397.,31-Mar-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation of High end Operating Microscope]  [HITES/PCD/AIIMS-IV/67/MIX/ 22-23][2023_HLL_150737_8]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sd2cY9GUBBbA883C5wohzbQ%3D%3D
398.,21-Aug-2023 11:00 AM.,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[Rate contract for Supply of Glasswares]  [4/5(14-2)2023-Pur/RC/Glassware][2023_CSIR_165067_1],Council of Scientific and Industrial Research||IHBT-Palampur - CSIR||Purchase -IHBT - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SXHkhKOjUQ6d4%2FEPDal%2FL1g%3D%3D
399.,31-Mar-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation of Trans Oesophageal Echo Cardiograph]  [HITES/PCD/AIIMS-IV/67/MIX/ 22-23][2023_HLL_150737_9]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SeaYyveYsroaQIiaf5UWfWA%3D%3D
400.,31-Mar-2023 06:25 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Dexa Scan]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_1],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SBTOaMfmMcNxs5PxQqTt5Rw%3D%3D
401.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Point of Care device (Cardiac Biomarker)]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_27],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SbFMrZKD3rUQRorCpDtXSZA%3D%3D
402.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of HPLC based automated analyzer for HbA1C testing ]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_28],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SqkJn%2B50Iz3FtmlnOOTVidQ%3D%3D
403.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Super Microsurgery system]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_29],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Su1F7UnKqn8Y%2BKSZwkx%2B00w%3D%3D
404.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Autoanalyzer immuno assay (cherniluminescence based) - fully automated with UPS back up]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_13],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SRZPCWsrlCRyCHb%2BYlRCY%2Fg%3D%3D
